"Cluster","Size","Mean_log_NfL","Mean_log_GFAP","Mean_log_AB42_40","Mean_log_pTau181","Mean_Membership","Overall_Entropy"
1,1222,2.20038872156911,3.74974176997418,-2.70735021606712,-0.135336406385832,0.257667234650169,1.12723513513139
2,1037,3.14104260552137,4.71343223887199,-2.62870843413074,0.521317423013073,0.259697960623191,1.12723513513139
3,1005,3.7615026112242,5.15391411310371,-2.82482504887373,1.21065956007487,0.206820889136689,1.12723513513139
4,1163,2.68693347991809,4.24393716047713,-2.83874536690099,0.361083795046934,0.275813915589952,1.12723513513139
