"","z1","z2","NfL","GFAP","AB42_40_ratio","pTau181_recode","cognition"
"z1",1,0.23,0.378,-0.015,-0.541,0.752,-0.066
"z2",0.23,1,0.724,0.913,0.041,0.483,-0.282
"NfL",0.378,0.724,1,0.44,-0.011,0.276,-0.217
"GFAP",-0.015,0.913,0.44,1,-0.009,0.296,-0.245
"AB42_40_ratio",-0.541,0.041,-0.011,-0.009,1,-0.042,-0.011
"pTau181_recode",0.752,0.483,0.276,0.296,-0.042,1,-0.135
"cognition",-0.066,-0.282,-0.217,-0.245,-0.011,-0.135,1
