"epoch","total_loss","recon_loss","kl_loss"
1,1.49544286727905,1.28523826599121,0.210204660892487
2,3.08024764060974,2.56988501548767,0.51036262512207
3,2.16969275474548,1.77201390266418,0.397678881883621
4,1.73866415023804,1.28341102600098,0.455253154039383
5,2.35363531112671,1.72342610359192,0.6302090883255
6,1.45526194572449,1.02155578136444,0.433706194162369
7,2.99481463432312,2.09762930870056,0.897185266017914
8,2.5945417881012,1.81549227237701,0.779049515724182
9,2.27020406723022,1.41910743713379,0.851096749305725
10,1.09715151786804,0.745685338973999,0.351466208696365
11,7.39396095275879,2.397296667099,4.99666452407837
12,2.69179892539978,2.00839972496033,0.683399200439453
13,4.54539585113525,3.72162842750549,0.823767423629761
14,1.89957904815674,1.30614137649536,0.593437612056732
15,1.13926637172699,0.684276401996613,0.454989939928055
16,1.88162684440613,1.37069499492645,0.510931789875031
17,1.56463885307312,1.16817140579224,0.396467417478561
18,1.11359810829163,0.738722026348114,0.37487605214119
19,2.93661093711853,1.81978118419647,1.11682975292206
20,9.78202819824219,7.89641571044922,1.8856121301651
