"Latent_Dim","Final_Loss","Final_Val_Loss"
2,0.0890551209449768,0.0899428054690361
3,0.0301978662610054,0.0286888182163239
4,0.00437677791342139,0.00409722328186035
5,0.00110637827310711,0.00104545697104186
