"1","2","3","Biomarker","Comparison_Group"
0.00136637617429099,NA,NA,"NfL","2"
1.69399236826911e-20,0,NA,"NfL","3"
0.000106234504155656,5.57376133373075e-06,0.407684246363309,"NfL","4"
2.31596998840622e-05,NA,NA,"GFAP","2"
4.05960722646403e-19,0,NA,"GFAP","3"
0.000281814816676362,1.66282875181235e-07,0.65656897983668,"GFAP","4"
0.447931497592906,NA,NA,"Aβ42/40","2"
0.101479726359233,0.00426759643398781,NA,"Aβ42/40","3"
2.53849876904686e-08,3.93359150130493e-10,3.93359150130493e-10,"Aβ42/40","4"
5.83672815823152e-25,NA,NA,"pTau181","2"
2.14797770128374e-30,5.54075089107254e-203,NA,"pTau181","3"
1.41089464559779e-07,0.00065672852810356,0.911302267954289,"pTau181","4"
