"epoch","total_loss","recon_loss","kl_loss"
1,1.31245064735413,1.08471477031708,0.227735862135887
2,23.4746360778809,16.0639896392822,7.41064739227295
3,1.89574205875397,1.42303574085236,0.472706288099289
4,1.93230175971985,1.38600420951843,0.546297609806061
5,10.2296180725098,4.6268572807312,5.60276126861572
6,1.91591882705688,1.41629695892334,0.499621838331223
7,1.65754246711731,0.811891734600067,0.845650672912598
8,2.90561294555664,1.90282702445984,1.00278580188751
9,1.33951723575592,0.935833513736725,0.403683751821518
10,1.42674398422241,1.04528188705444,0.381462097167969
11,1.61110687255859,1.01249182224274,0.598615109920502
