"K","Mean_Silhouette"
2,0.519438947245816
3,0.528045756190929
4,0.470673708697433
5,0.478641831499118
6,0.340783577328202
7,0.23628699235243
8,0.254711606186356
9,0.258951707442589
10,0.245857545186148
