OR,LCL,UCL
4.4042716745482385e-6,2.2872183568315773e-9,0.0084808732516903
4.489312114494555,0.8254013547094597,24.41711919462711
5.403673589326935,0.9088735213711198,32.12733958399295
3.4905215056488275,0.820298382063776,14.852815326471902
2.580152963947603,0.9354122465148257,7.116850717072678
2.1814248162674432,0.6676556934570126,7.12734763690566
3.6554151846655993,1.3847335141844983,9.649553531715494
0.5818866091321121,0.06763220616630454,5.0063726304400715
1.128163969513987,0.22712991639560473,5.603638491605528
8.12440349961704e-8,0,Inf
0.8081096194554104,0.11149691297832384,5.857033523280829
1.0940785701366051,0.12226484327285575,9.790287097991222
0.8642071529067167,0.12025523356919875,6.210573801807712
7.40179703007391,0.3799049407574552,144.21133656534533
