vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se
1,170,2.3,1.17089961873756,2,2.1911764705882355,1.4826,1,5,4,0.6151641886710932,-0.5870162427015688,0.08980390130264429
2,170,2.764705882352941,1.1931466906499721,3,2.7205882352941178,1.4826,1,5,4,0.20793196217019058,-0.880954761841279,0.09151017382876328
3,170,2.929411764705882,1.1945461398933679,3,2.911764705882353,1.4826,1,5,4,0.1350280833056724,-0.9031051233760121,0.09161750668609862
4,170,2.2823529411764705,1.236637593402907,2,2.1544117647058822,1.4826,1,5,4,0.6695358189631273,-0.675444349558096,0.09484577380324995
5,170,2.1941176470588237,1.1268485605372904,2,2.051470588235294,1.4826,1,5,4,0.850114897213365,0.019602393373955973,0.08642533936651584
6,170,2.8294117647058825,1.201707220435891,3,2.7941176470588234,1.4826,1,5,4,0.12454119636964758,-0.9259004457706501,0.09216673649194175
7,170,2.55,0.45934306920516876,2.5,2.553921568627451,0.4942000000000002,1.5,3.5,2,-0.0755629537848514,-0.6690493859473241,0.035230005195005916
